Hora,Consumo (W),Temperatura (C),Uso CPU (%)
2025-06-17 19:45:31,,46.1,0
2025-06-17 19:45:33,,48.3,33.3
2025-06-17 19:45:35,,46.6,0
2025-06-17 19:45:37,,46.6,33.3
2025-06-17 19:45:39,,47.2,33.3
2025-06-17 19:45:41,,46.1,33.3
2025-06-17 19:45:44,,47.2,33.3
2025-06-17 19:45:46,,46.1,66.7
2025-06-17 19:45:48,,46.6,50
2025-06-17 19:45:50,,46.6,33.3
2025-06-17 19:45:52,,47.2,0
2025-06-17 19:45:55,,44.4,33.3
2025-06-17 19:45:57,,46.1,50
2025-06-17 19:45:59,,46.1,0
2025-06-17 19:46:01,,46.1,33.3
2025-06-17 19:46:03,,45.5,33.3
2025-06-17 19:46:05,,46.6,50
2025-06-17 19:46:08,,44.4,33.3
2025-06-17 19:46:10,,46.1,33.3
2025-06-17 19:46:12,,46.1,50
2025-06-17 19:46:14,,45.5,33.3
2025-06-17 19:46:16,,47.2,33.3
2025-06-17 19:46:19,,47.2,0
2025-06-17 19:46:21,,45.5,50
2025-06-17 19:46:23,,45.0,66.6
2025-06-17 19:46:25,,45.5,66.6
2025-06-17 19:46:27,,45.5,50
2025-06-17 19:46:29,,46.1,33.3
2025-06-17 19:46:32,,46.1,60
2025-06-17 19:46:34,,46.1,0
